group,to_read
minúsculas,a
minúsculas,b
minúsculas,c
minúsculas,d
minúsculas,e
minúsculas,f
minúsculas,g
minúsculas,h
minúsculas,i
minúsculas,j
minúsculas,k
minúsculas,l
minúsculas,m
minúsculas,n
minúsculas,o
minúsculas,p
minúsculas,q
minúsculas,r
minúsculas,s
minúsculas,t
minúsculas,u
minúsculas,v
minúsculas,w
minúsculas,x
minúsculas,y
minúsculas,z
minúsculas,ñ
minúsculas,ch
minúsculas,ll
mayúsculas,A
mayúsculas,B
mayúsculas,C
mayúsculas,D
mayúsculas,E
mayúsculas,F
mayúsculas,G
mayúsculas,H
mayúsculas,I
mayúsculas,J
mayúsculas,K
mayúsculas,L
mayúsculas,M
mayúsculas,N
mayúsculas,O
mayúsculas,P
mayúsculas,Q
mayúsculas,R
mayúsculas,S
mayúsculas,T
mayúsculas,U
mayúsculas,V
mayúsculas,W
mayúsculas,X
mayúsculas,Y
mayúsculas,Z
mayúsculas,Ñ
mayúsculas,CH
mayúsculas,LL
